Timepoint,Usage
2025-10-12 11:00:00,8.2
2025-10-12 12:00:00,6.9
2025-10-12 13:00:00,7.4
2025-10-12 14:00:00,7.2
2025-10-12 15:00:00,6.7
2025-10-12 16:00:00,5.9
2025-10-12 17:00:00,6.4
2025-10-12 18:00:00,6.1
2025-10-12 19:00:00,6.3
2025-10-12 20:00:00,5.4
2025-10-12 21:00:00,5.6
2025-10-12 22:00:00,5.7
2025-10-12 23:00:00,4.5
2025-10-13 0:00:00,1.3
2025-10-13 1:00:00,0.9491
2025-10-13 2:00:00,0.9509
2025-10-13 3:00:00,1.2
2025-10-13 4:00:00,1.6
2025-10-13 5:00:00,1.9
2025-10-13 6:00:00,4.8
2025-10-13 7:00:00,7
2025-10-13 8:00:00,10
2025-10-13 9:00:00,13.4
2025-10-13 10:00:00,16.1
2025-10-13 11:00:00,16.4
2025-10-13 12:00:00,13.9
2025-10-13 13:00:00,15.2
2025-10-13 14:00:00,15.8
2025-10-13 15:00:00,15.4
2025-10-13 16:00:00,14.2
2025-10-13 17:00:00,15.2
2025-10-13 18:00:00,10.3
2025-10-13 19:00:00,7.5
2025-10-13 20:00:00,6.7
2025-10-13 21:00:00,5.8
2025-10-13 22:00:00,5.8
2025-10-13 23:00:00,3.2
2025-10-14 0:00:00,1
2025-10-14 1:00:00,1.5483
2025-10-14 2:00:00,1.5517
2025-10-14 3:00:00,1.7
2025-10-14 4:00:00,1.9
2025-10-14 5:00:00,2.3
2025-10-14 6:00:00,3.7
2025-10-14 7:00:00,10.3
2025-10-14 8:00:00,10.8
2025-10-14 9:00:00,12.5
2025-10-14 10:00:00,13.8
2025-10-14 11:00:00,12.6
2025-10-14 12:00:00,13.1
2025-10-14 13:00:00,14.2
2025-10-14 14:00:00,14.7
2025-10-14 15:00:00,15.3
2025-10-14 16:00:00,15.5
2025-10-14 17:00:00,14
2025-10-14 18:00:00,9.7
2025-10-14 19:00:00,7.2
2025-10-14 20:00:00,6
2025-10-14 21:00:00,5.7
2025-10-14 22:00:00,4.2
2025-10-14 23:00:00,2.3
2025-10-15 0:00:00,0.9
2025-10-15 1:00:00,1.0488
2025-10-15 2:00:00,1.0512
2025-10-15 3:00:00,1.5
2025-10-15 4:00:00,1.7
2025-10-15 5:00:00,3
2025-10-15 6:00:00,4.4
2025-10-15 7:00:00,7.8
2025-10-15 8:00:00,10.5
2025-10-15 9:00:00,12.2
2025-10-15 10:00:00,14.7
2025-10-15 11:00:00,13.5
2025-10-15 12:00:00,14.3
2025-10-15 13:00:00,14.3
2025-10-15 14:00:00,13
2025-10-15 15:00:00,12.5
2025-10-15 16:00:00,14.6
2025-10-15 17:00:00,14.1
2025-10-15 18:00:00,10.8
2025-10-15 19:00:00,8.4
2025-10-15 20:00:00,6.3
2025-10-15 21:00:00,5.7
2025-10-15 22:00:00,4.4
2025-10-15 23:00:00,2.4
2025-10-16 0:00:00,1.1
2025-10-16 1:00:00,0.9
2025-10-16 2:00:00,1.8
2025-10-16 3:00:00,2
2025-10-16 4:00:00,2
